,Average Training loss
1,-39.30988481616974
2,-26.283523235321045
3,-11.456280395030975
4,3.2024149396643042
5,16.933871822357176
6,28.663217445373537
7,38.07214083480835
8,47.68486769104004
9,54.59600371551514
10,62.149201858520506
11,69.3659094543457
12,75.55280506896973
13,81.75261868286132
14,87.76594184875488
15,93.17179016113282
16,98.39733642578125
17,103.40376602172852
18,108.22863659667969
19,113.08600944519043
20,117.64113442993164
21,118.06340849304199
22,116.86249919128419
23,115.80497494506837
24,114.73909489440918
25,113.68384870910644
26,112.70118116760254
27,111.87779948425293
28,111.08800274658203
29,110.45596629333497
30,109.72919804382325
31,109.17466511535645
32,108.55720443725586
33,108.00978427124024
34,107.51028094482422
35,107.02386381530762
36,106.57684376525879
37,106.16086714172363
38,105.7590302734375
39,105.3903052520752
40,105.07594348144531
41,104.6963090057373
42,104.40542364501952
43,104.14657894897461
44,103.90495379638672
45,103.5481985321045
46,103.34822563171387
47,103.08354354858399
48,102.87380004882813
49,102.63137648010255
50,102.40973002624511
51,102.24075973510742
52,102.0490458831787
53,101.879001663208
54,101.71903614807128
55,101.57029075622559
56,101.37363241577148
57,101.22508779907227
58,101.11643173217773
59,100.91292893981934
60,100.76602876281738
61,100.67731582641602
62,100.5419412689209
63,100.39337815856933
64,100.28919975280762
65,100.19154591369629
66,100.06802365112304
67,99.99014776611328
68,99.87832147216797
69,99.77286161804199
70,99.66655628967285
71,99.55553176879883
72,99.4851932220459
73,99.38729074096679
74,99.26976931762695
75,99.18874142456055
76,99.1213285369873
77,99.04902870178222
78,98.94718908691407
79,98.84916178894044
80,98.76782772827148
81,98.685736038208
82,98.58971478271485
83,98.57501397705079
84,98.43978533935547
85,98.38255012512207
86,98.29158486938476
87,98.24044477844238
88,98.17047611999512
89,98.09133255004883
90,98.02470791625977
91,97.98063711547852
92,97.90134051513672
93,97.84449131774902
94,97.78104307556153
95,97.71943363952637
96,97.65580146789551
97,97.60010861206055
98,97.54995350646972
99,97.51345574951172
100,97.40399597167969
101,97.36669068908691
102,97.34732382202148
103,97.27188038635254
104,97.23229512023926
105,97.18760827636719
106,97.11452549743652
107,97.05802578735351
108,97.02004457092285
109,96.98302758789063
110,96.90929304504394
111,96.87380004882813
112,96.84919909667968
113,96.78269161987305
114,96.75594761657715
115,96.73066184997559
116,96.65170034790039
117,96.61310969543457
118,96.5847218170166
119,96.5354274597168
120,96.5001572265625
121,96.45912637329101
122,96.44405599975586
123,96.38813233947754
124,96.3392850189209
125,96.30807977294921
126,96.27615579223632
127,96.23770932006836
128,96.22058277893066
129,96.18764270019531
130,96.13831970214844
131,96.10717851257324
132,96.07688264465332
133,96.01854960632325
134,95.97204627990723
135,95.98293244934082
136,95.91845262145996
137,95.888576171875
138,95.86242163085937
139,95.82413249206543
140,95.81071060180665
141,95.7702469329834
142,95.7417834777832
143,95.69444676208497
144,95.68699211120605
145,95.63277113342285
146,95.64591989135742
147,95.59872776794434
148,95.57583996582031
149,95.53822000122071
150,95.52430903625488
151,95.50052182006836
152,95.43343521118165
153,95.42689585876465
154,95.40239183044433
155,95.38981114196777
156,95.3540714263916
157,95.32996754455566
158,95.29534844970703
159,95.27559878540039
160,95.24617655944824
161,95.22800839233399
162,95.20677983093262
163,95.1919884185791
164,95.14782604980469
165,95.12570141601563
166,95.1086856842041
167,95.05987141418457
168,95.05072047424316
169,95.03742379760742
170,95.01505574035644
171,94.98785614013671
172,94.99399896240234
173,94.95855557250977
174,94.92948274230957
175,94.89721817016601
176,94.88894718933105
177,94.85513534545899
178,94.83999620056153
179,94.85123725891113
180,94.77534587097168
181,94.78475085449219
182,94.7712547454834
183,94.72066011047363
184,94.7155651550293
185,94.69679264831542
186,94.70022145080567
187,94.65621557617187
188,94.63082849121093
189,94.61173231506348
190,94.6020474395752
191,94.60087608337402
192,94.56735989379882
193,94.54733003234864
194,94.52049079895019
195,94.51896086120605
196,94.45974281311035
197,94.48237097167969
198,94.47162745666503
199,94.44794483947754
200,94.41332032775878
201,94.41448962402343
202,94.38785685729981
203,94.37231793212891
204,94.38616561889648
205,94.34907264709473
206,94.31042526245118
207,94.3158504486084
208,94.27961648559571
209,94.30187300109863
210,94.23841690063476
211,94.2740458984375
212,94.22564283752442
213,94.20819262695312
214,94.19979257202148
215,94.19250018310547
216,94.15443898010254
217,94.156593460083
218,94.12862106323242
219,94.09607585144043
220,94.09086238098145
221,94.08965791320801
222,94.06789904785157
223,94.04577766418457
224,94.03516911315918
225,94.01358142089843
226,93.99730284118652
227,93.991982421875
228,93.96824913024902
229,93.97407334899903
230,93.9635740966797
231,93.93119732666015
232,93.91972946166992
233,93.8881657409668
234,93.93329893493652
235,93.89448469543457
236,93.85349610900879
237,93.84091062927246
238,93.85660862731933
239,93.83212242126464
240,93.83223521423339
241,93.80872219848632
242,93.78683547973633
243,93.75986433410644
244,93.77258557128906
245,93.73032695007325
246,93.74012367248535
247,93.72119383239746
248,93.71359860229492
249,93.69291447448731
250,93.6984142150879
251,93.67086723327637
252,93.64892779541016
253,93.64164242553711
254,93.66133546447755
255,93.62223121643066
256,93.61991444396973
257,93.60499757385254
258,93.58369975280762
259,93.54899041748047
260,93.58546559143066
261,93.56608027648926
262,93.53644967651367
263,93.54160411071777
264,93.53056176757812
265,93.50330679321289
266,93.49984875488282
267,93.49101094055176
268,93.45549969482421
269,93.45791952514648
270,93.46224459838866
271,93.41798640441894
272,93.42535234069824
273,93.42083126831055
274,93.40531065368653
275,93.40032106018066
276,93.36815138244629
277,93.34055157470704
278,93.37327120971679
279,93.36235598754882
280,93.30797344970703
281,93.32799644470215
282,93.31587155151367
283,93.30882318115235
284,93.30109275817871
285,93.26192405700684
286,93.2611830444336
287,93.25392610168457
288,93.25169580078125
289,93.23592640686036
290,93.22144206237793
291,93.21497300720215
292,93.20291465759277
293,93.20660810852051
294,93.1928143157959
295,93.17966160583497
296,93.15628924560546
297,93.16907887268066
298,93.1469015045166
299,93.1195639038086
300,93.1322230834961
301,93.10712031555175
302,93.10884730529786
303,93.1245908203125
304,93.08226647949219
305,93.07128213500977
306,93.07473698425294
307,93.0603927154541
308,93.02794577026367
309,93.05022386169433
310,93.04021228027344
311,93.03778897094726
312,93.04078462219238
313,92.98875575256348
314,92.99998222351074
315,92.99850480651855
316,93.00180802917481
317,92.97101551818848
318,92.96752075195313
319,92.97325448608399
320,92.94999128723144
321,92.91367047119141
322,92.93736311340332
323,92.90420039367676
324,92.90418406677246
325,92.89642926025391
326,92.8801639251709
327,92.8701311340332
328,92.8722886505127
329,92.85986575317382
330,92.86928361511231
331,92.84530781555176
332,92.82758140563965
333,92.83036463928222
334,92.81596879577637
335,92.78921298217773
336,92.80247309875489
337,92.79409991455078
338,92.78489010620117
339,92.76123149108886
340,92.76475810241699
341,92.74875729370117
342,92.74201783752441
343,92.74135160827636
344,92.71930892944336
345,92.72210713195801
346,92.70998605346679
347,92.7120026550293
348,92.6929409942627
349,92.68086012268067
350,92.67022743225098
351,92.70070114135743
352,92.65826815795899
353,92.67660940551758
354,92.64555616760254
355,92.64627467346192
356,92.61971186828613
357,92.61968215942383
358,92.61255545043946
359,92.60010774230958
360,92.60573426818847
361,92.56971704101562
362,92.57064894104003
363,92.57495091247559
364,92.56262721252442
365,92.54195750427246
366,92.53454981994629
367,92.53303216552735
368,92.55114013671874
369,92.52730052185059
370,92.52732569885254
371,92.51754891967774
372,92.52573406982422
373,92.51420153808594
374,92.49811544799805
375,92.48696815490723
376,92.49405622863769
377,92.4747532196045
378,92.46445785522461
379,92.43227320861817
380,92.45559063720704
381,92.44968055725097
382,92.43706164550781
383,92.41573582458496
384,92.42516493225098
385,92.40921534729004
386,92.40308479309083
387,92.40297583007812
388,92.40200247192382
389,92.40785157775879
390,92.38934645080566
391,92.3674077758789
392,92.39974084472657
393,92.37900010681152
394,92.3608119506836
395,92.34964134216308
396,92.33535385131836
397,92.32991687011719
398,92.31458639526367
399,92.31970690917969
400,92.29339601135254
401,92.32127116394042
402,92.29749159240723
403,92.294976852417
404,92.2826156616211
405,92.28208456420899
406,92.26867721557618
407,92.2688719329834
408,92.23625151062012
409,92.25600273132324
410,92.25061560058593
411,92.2359122467041
412,92.24308041381836
413,92.22007727050782
414,92.23068113708496
415,92.2037139892578
416,92.2043895111084
417,92.18366027832032
418,92.17334074401856
419,92.19468124389648
420,92.17624755859374
421,92.15834733581544
422,92.17796458435059
423,92.15330529785156
424,92.15973654174805
425,92.15551876831054
426,92.13118083190918
427,92.12497640991211
428,92.13891410827637
429,92.12296534729003
430,92.1060584564209
431,92.11484468078613
432,92.10374969482422
433,92.09787782287597
434,92.0663907623291
435,92.08856144714356
436,92.0788916168213
437,92.06458966064453
438,92.07989683532715
439,92.05997238159179
440,92.04931271362305
441,92.0505475616455
442,92.04335276794434
443,92.02443138122558
444,92.02390539550781
445,92.00825787353516
446,92.01466607666016
447,92.03199395751953
448,91.98793299865723
449,92.0000436553955
450,91.98268269348145
451,92.0061694946289
452,91.99334678649902
453,91.96468011474609
454,91.96603007507325
455,91.95815864562988
456,91.97491868591308
457,91.9510873413086
458,91.93492776489258
459,91.94742755126953
460,91.93605792236328
461,91.93859664916992
462,91.93106086730957
463,91.91653585815429
464,91.92168000793457
465,91.91325140380859
466,91.89124565124511
467,91.92476246643066
468,91.88944833374023
469,91.8893673248291
470,91.86999168395997
471,91.89392778015137
472,91.89330323791503
473,91.84699395751953
474,91.86571569824218
475,91.85634803771973
476,91.85888096618652
477,91.84956488037109
478,91.85884870910644
479,91.82646441650391
480,91.83743328857422
481,91.82306768798829
482,91.80776237487792
483,91.82449244689941
484,91.80116011047363
485,91.80292364501953
486,91.80479344177246
487,91.78860121154786
488,91.75784063720702
489,91.75987652587891
490,91.75885041809082
491,91.7840972290039
492,91.78023638916015
493,91.7497876739502
494,91.75431298828126
495,91.74888027954101
496,91.73897410583496
497,91.74702976989747
498,91.73593515014649
499,91.71347836303711
500,91.74339164733887
501,91.71144396972656
502,91.70913195800782
503,91.68382835388184
504,91.69306210327149
505,91.67842337036133
506,91.67961344909668
507,91.68567283630371
508,91.67915213012695
509,91.6793369293213
510,91.68570753479004
511,91.668564163208
512,91.66964125061035
513,91.64903547668457
514,91.67041691589355
515,91.64623576354981
516,91.66814045715331
517,91.63611735534668
518,91.65503791809083
519,91.60428800964355
520,91.63687385559082
521,91.61972047424317
522,91.61468605041505
523,91.5866259765625
524,91.61873286437988
525,91.59245651245118
526,91.58869166564942
527,91.59639935302734
528,91.56458561706543
529,91.56811743164063
530,91.57535939025878
531,91.56035411071777
532,91.55058462524414
533,91.59260987854005
534,91.53673115539551
535,91.56482446289063
536,91.5504990081787
537,91.52651548767089
538,91.54341061401367
539,91.51869602966309
540,91.51244398498535
541,91.5180489654541
542,91.52405267333984
543,91.509679977417
544,91.49133108520508
545,91.51745341491699
546,91.48705944824219
547,91.49693380737304
548,91.48813069152833
549,91.49725479125976
550,91.47832263183594
551,91.47928581237792
552,91.47373066711425
553,91.48317767333984
554,91.44504302978515
555,91.43906080627441
556,91.43285015869141
557,91.42721798706054
558,91.45890979003906
559,91.44960040283203
560,91.40883395385742
561,91.43100625610352
562,91.40893376159669
563,91.41644970703125
564,91.43148275756836
565,91.40689532470704
566,91.4328283996582
567,91.39715093994141
568,91.40331365966797
569,91.4104028930664
570,91.38467741394042
571,91.39454795837402
572,91.39325425720214
573,91.40054898071288
574,91.40817504882813
575,91.36600714111329
576,91.35507629394532
577,91.35712356567383
578,91.3721658782959
579,91.34964393615722
580,91.33673933410644
581,91.35312097167969
582,91.35093235778808
583,91.32580657958984
584,91.34441944885253
585,91.33446459960938
586,91.33369891357422
587,91.33788677978515
588,91.33259881591798
589,91.32773580932617
590,91.30363032531739
591,91.30357579040528
592,91.28852281188965
593,91.28365892028809
594,91.29333451843262
595,91.28414839172363
596,91.27006256103516
597,91.2659787902832
598,91.26999765014648
599,91.27688789367676
600,91.29124638366699
601,91.26599937438965
602,91.25405476379395
603,91.24644589233398
604,91.2568433380127
605,91.24517486572266
606,91.23079698181152
607,91.25640577697754
608,91.25059991455078
609,91.22270484924316
610,91.2238945159912
611,91.19301792907714
612,91.20703968811036
613,91.20836505126952
614,91.2034338684082
615,91.23070512390137
616,91.21173834228516
617,91.19368656921387
618,91.22100660705567
619,91.18763693237305
620,91.18962869262695
621,91.1804819946289
622,91.18514093017578
623,91.19360258483887
624,91.19706175231934
625,91.15534867858887
626,91.1720474395752
627,91.13342231750488
628,91.14880139160157
629,91.17066276550293
630,91.15887007141113
631,91.1328992614746
632,91.1488224029541
633,91.12294694519044
634,91.14387010192871
635,91.14227737426758
636,91.13647509765624
637,91.13220372009278
638,91.11012995910644
639,91.11593023681641
640,91.09088262939453
641,91.11446438598632
642,91.08942124938964
643,91.09807780456543
644,91.10995182800293
645,91.11085159301757
646,91.08884886169433
647,91.08528520202637
648,91.08912770080566
649,91.06544752502441
650,91.08028157043456
651,91.08597598266601
652,91.1046455078125
653,91.05008653259277
654,91.05800805664063
655,91.05879928588867
656,91.06305546569824
657,91.05124227905273
658,91.0626695098877
659,91.03016760253907
660,91.0443009033203
661,91.04423046875
662,91.05883009338379
663,91.02295474243164
664,91.01446983337402
665,91.02956901550293
666,91.03332901000977
667,91.02174337768555
668,91.00694610595703
669,90.99977122497559
670,91.01729824829101
671,91.00227395629882
672,90.99932270812988
673,91.00955307006836
674,90.97813331604004
675,91.00010902404784
676,90.99790104675293
677,90.98848237609863
678,90.97990196228028
679,90.97639233398438
680,90.98049382019043
681,90.973455368042
682,90.96738343811035
683,90.94951170349121
684,90.9738311920166
685,90.94391290283203
686,90.96709080505372
687,90.95664918518067
688,90.96522262573242
689,90.95779258728027
690,90.95087796020508
691,90.94780194091797
692,90.92616796875
693,90.91580960083007
694,90.92345121765136
695,90.93010774230957
696,90.93304261779785
697,90.90740684509278
698,90.89982858276367
699,90.93466555786132
700,90.9028194885254
701,90.898525390625
702,90.93633016967773
703,90.92116094970703
704,90.91386891174317
705,90.90568283081055
706,90.89457200622559
707,90.8798140258789
708,90.90968826293945
709,90.85406497192383
710,90.86104180908202
711,90.88761178588867
712,90.8604008178711
713,90.86461022949219
714,90.86085917663574
715,90.83477873229981
716,90.86829508972168
717,90.83619245910644
718,90.87044526672364
719,90.82636096191406
720,90.86576632690429
721,90.85670069885253
722,90.85378651428222
723,90.8587261505127
724,90.8289400024414
725,90.82214811706542
726,90.84273504638672
727,90.8231982574463
728,90.81334329223633
729,90.81951593017578
730,90.84206091308593
731,90.79294227600097
732,90.81078036499024
733,90.7931471862793
734,90.80869422912598
735,90.79555783081055
736,90.80573112487792
737,90.79950675964355
738,90.78768563842773
739,90.79461515808106
740,90.78318324279785
741,90.81420631408692
742,90.78450692749024
743,90.78896897888184
744,90.78637194824219
745,90.78779356384277
746,90.77308908081055
747,90.76910928344726
748,90.74998126220703
749,90.73799003601074
750,90.75792335510253
751,90.74477030944824
752,90.75577825927735
753,90.74894596862794
754,90.74564657592774
755,90.72733699035645
756,90.73548474121094
757,90.73546803283692
758,90.7384048461914
759,90.73139692687988
760,90.72809500122071
761,90.69289601135254
762,90.72016200256347
763,90.7079256591797
764,90.73850425720215
765,90.74248541259766
766,90.72050186157226
767,90.72438694763184
768,90.71620382690429
769,90.71842770385742
770,90.6887603149414
771,90.69478457641601
772,90.70612240600586
773,90.6636941833496
774,90.69390274047852
