,Average Training loss
1,-36.596245892882344
2,-26.080770696640016
3,-10.842370554924011
4,4.178400140441954
5,17.274548999786376
6,27.77007008743286
7,37.0227569732666
8,45.73636154937744
9,53.13547560119629
10,60.055233207702635
11,66.94309288787842
12,73.2501845550537
13,79.31244784545899
14,84.83712049865723
15,90.26266075134278
16,95.55371096801758
17,100.72091877746583
18,105.78718534851075
19,110.57686492919922
20,115.08485035705566
21,115.64331457519532
22,114.28416229248047
23,113.38508132934571
24,112.29330293273925
25,111.30545828247071
26,110.39299348449707
27,109.57154104614258
28,108.81794584655762
29,108.18347183227539
30,107.70642593383789
31,107.50256782531739
32,106.60069831848145
33,106.0960873260498
34,105.66302932739258
35,105.16793101501464
36,104.80325260925294
37,104.38078291320801
38,104.04466305541992
39,103.99920896911621
40,103.52739936828613
41,103.25270654296875
42,103.43382772827148
43,102.8569792175293
44,102.50542835998534
45,102.24916169738769
46,101.94180372619628
47,101.73971382141113
48,101.98843955993652
49,101.88149273681641
50,101.81818748474122
51,101.18063198852539
52,100.9993377532959
53,101.09350561523438
54,100.58373695373535
55,100.45153234863281
56,100.2710182800293
57,100.17657884216308
58,100.70672645568848
59,100.60612155151367
60,100.38456951904297
61,100.30789906311036
62,99.88628727722168
63,99.66493756103516
64,99.78539341735839
65,99.62675170898437
66,99.31157566833497
67,99.58878170776367
68,99.1315965270996
69,99.19423976135253
70,98.93813314819336
71,98.91174452209472
72,98.86344313049317
73,98.61620796203613
74,98.54288053894042
75,98.52153442382813
76,98.89983558654785
77,98.61193534851074
78,98.4345234375
79,98.22577841186524
80,98.10101075744629
81,98.28922637939453
82,99.8093583984375
83,98.82121069335938
84,98.64707832336425
85,98.1351015625
86,98.26333364868164
87,98.16904002380372
88,98.09218727111816
89,97.85101748657226
90,97.71287573242188
91,98.00967468261719
92,97.64617486572266
93,97.61362705993652
94,97.8460364074707
95,97.84055619812011
96,97.44121772766113
97,98.40007452392578
98,97.86524632263183
99,98.35165524291992
100,98.54832244873047
101,98.39020227050781
102,98.13808345031738
103,98.18296228027344
104,98.56489051818848
105,97.81903199768067
106,97.80443826293946
107,97.50768417358398
108,97.7023858795166
109,97.7663071899414
110,97.89438232421875
111,97.78808367919922
112,98.19602334594727
113,98.35053523254395
114,98.97124139404296
115,98.772939453125
116,98.36030393981933
117,98.23140666198731
118,98.00734761047363
119,99.19140420532227
120,98.7743469543457
121,99.0933667602539
122,98.31918113708497
123,97.77000749206543
124,98.96878379821777
125,98.13968579101562
126,97.89253074645995
127,98.38147599792481
128,98.97937496948242
129,98.04615129089356
130,98.10474610900879
131,98.1978098602295
132,97.94779890441895
