,Average Training loss
1,-16.30467555116117
2,-20.748362843990325
3,-11.404392112731934
4,2.4977760717496276
5,14.66688452720642
6,25.492707649230958
7,34.503704765319824
8,42.768698059082034
9,50.8538888092041
10,58.49330665588379
11,65.73237275695801
12,72.03647547912598
13,77.94332328796386
14,83.30258584594726
15,88.47196145629883
16,93.66383283996582
17,98.54944750976563
18,103.38112968444824
19,108.04935137939454
20,112.40717391967773
21,112.98039498901367
22,111.91915301513671
23,110.95045886230469
24,110.00382699584961
25,109.15904985046387
26,108.38637498474121
27,107.67480992126465
28,107.0672113647461
29,106.45383096313476
30,105.95477047729493
31,105.44353170776367
32,105.01248794555664
33,104.58542010498047
34,104.17882830810547
35,103.7817333831787
36,103.40895512390136
37,103.0695562133789
38,102.78289848327637
39,102.47913607788085
40,102.18617565917968
41,101.91985345458984
42,101.67613397216797
43,101.38460522460937
44,101.15472912597656
45,100.95788418579102
46,100.7434107055664
47,100.53024559020996
48,100.30976837158204
49,100.18854539489746
50,100.00145513916016
51,99.84871147155762
52,99.65851014709473
53,99.5328595123291
54,99.37060037231446
55,99.23680995178222
56,99.07276399230958
57,98.96535508728027
58,98.80179438781738
59,98.71122659301759
60,98.56955429077148
61,98.45403715515137
62,98.34968173217773
63,98.24564935302735
64,98.15845527648926
65,98.00754853820801
66,97.93899003601074
67,97.83433666992188
68,97.73133345031738
69,97.6495389404297
70,97.54559126281738
71,97.47378240966796
72,97.39868766784667
73,97.29052781677247
74,97.22300553894043
75,97.12636077880859
76,97.0603373260498
77,96.99105003356934
78,96.91835444641113
79,96.8227049560547
80,96.78213717651367
81,96.66821913146973
82,96.6260926208496
83,96.56999935913086
84,96.48687872314453
85,96.44095814514161
86,96.37112971496582
87,96.32360311889649
88,96.20065083312988
89,96.15387875366211
90,96.09016673278809
91,96.06611349487305
92,96.01592405700684
93,95.96842684936523
94,95.88893721008301
95,95.83050338745117
96,95.79388832092285
97,95.70933520507812
98,95.66513255310059
99,95.66641049194335
100,95.58121949768066
101,95.5617713470459
102,95.49661218261718
103,95.44215441894531
104,95.39383386230469
105,95.3671746520996
106,95.28516491699219
107,95.23265103149414
108,95.25063481140137
109,95.17571392822266
110,95.12140646362305
111,95.0924225769043
112,95.023499710083
113,94.98825225830078
114,94.97303897094727
115,94.94705874633789
116,94.87713682556152
117,94.84658198547363
118,94.82938557434082
119,94.75950540161134
120,94.72550997924805
121,94.6785419921875
122,94.64151983642579
123,94.61267024230958
